Date,Time,Ping (ms),Jitter (ms),Download (Mbps),Upload (Mbps)
10/22/21,09:52,12.75,3.87,305.89,30.76
10/22/21,10:00,9.90,0.80,305.57,30.76
10/22/21,10:30,10.49,0.73,305.70,30.68
10/22/21,11:00,11.24,3.79,306.04,30.35
10/22/21,11:30,11.65,5.97,259.25,30.77
10/22/21,12:00,10.49,3.09,306.06,30.81
10/22/21,12:30,10.82,2.20,304.11,30.66
10/22/21,13:00,9.84,4.64,305.69,30.57
10/22/21,13:30,6.14,8.43,301.51,30.58
10/22/21,14:00,11.52,2.37,306.04,30.64
10/22/21,14:30,10.59,8.60,305.77,30.76
10/22/21,15:00,10.40,9.76,304.16,30.60
10/22/21,15:30,10.05,5.73,5.58,16.70
10/22/21,16:00,10.56,3.53,305.75,30.65
10/22/21,16:30,11.58,0.63,305.74,30.70
10/22/21,17:00,10.74,1.06,305.95,30.17
10/22/21,17:30,10.61,0.74,306.09,30.77
10/22/21,18:00,10.62,0.88,306.29,30.72
10/22/21,18:30,10.13,0.88,306.05,30.78
10/22/21,19:00,11.03,4.57,304.84,30.60
10/22/21,19:30,11.52,3.43,305.85,30.70
10/22/21,20:00,10.02,2.09,5.73,17.26
10/22/21,20:30,10.01,1.25,5.59,17.42
10/22/21,21:00,10.68,2.66,305.62,30.75
10/22/21,21:30,11.76,2.88,291.98,29.70
10/22/21,22:00,11.40,2.52,297.34,30.76
10/22/21,22:30,15.32,3.52,306.59,30.78
10/22/21,23:00,9.76,2.56,305.86,30.82
10/22/21,23:30,9.92,4.89,305.81,30.82
10/23/21,00:00,12.36,4.99,285.49,30.79
10/23/21,00:30,11.09,119.03,306.24,30.43
10/23/21,01:00,10.26,2.88,305.76,30.79
10/23/21,01:30,10.86,2.91,306.10,30.81
10/23/21,02:00,11.69,0.75,305.75,30.73
10/23/21,02:30,9.68,2.04,305.55,30.76
10/23/21,03:00,13.70,4.06,305.84,30.73
10/23/21,03:30,11.15,0.53,305.94,30.80
10/23/21,04:00,11.18,4.48,305.94,31.07
10/23/21,04:30,10.52,0.92,306.06,30.79
10/23/21,05:00,10.90,2.99,304.99,30.80
10/23/21,05:30,10.74,0.74,306.41,30.78
10/23/21,06:00,10.66,1.43,305.68,30.81
10/23/21,06:30,11.55,2.13,305.97,30.77
10/23/21,07:00,11.25,0.49,306.28,30.78
10/23/21,07:30,10.97,1.41,5.71,16.85
10/23/21,08:00,11.16,2.50,306.20,30.78
10/23/21,08:30,10.00,3.81,306.07,30.79
10/23/21,09:00,10.27,0.98,305.66,30.80
10/23/21,09:30,10.51,0.59,306.16,30.72
10/23/21,10:00,11.06,121.30,306.29,30.76
10/23/21,11:00,10.16,0.62,305.70,30.76
10/23/21,11:30,14.60,1.08,305.51,30.73
10/23/21,12:00,10.10,1.85,305.73,30.82
10/23/21,12:30,11.74,4.12,303.26,29.69
10/23/21,13:00,9.24,0.69,305.79,30.76
10/23/21,13:30,11.68,5.76,305.46,30.74
10/23/21,14:00,10.93,0.96,304.39,30.70
10/23/21,14:30,11.69,2.28,305.96,30.65
10/23/21,15:00,11.38,1.29,306.00,30.74
10/23/21,15:30,12.92,2.32,306.03,30.75
10/23/21,16:00,10.67,2.07,305.87,30.76
10/23/21,16:30,12.19,0.66,306.53,30.67
10/23/21,17:00,10.48,2.74,305.99,30.75
10/23/21,17:30,11.25,0.90,303.88,30.84
10/23/21,18:00,11.41,2.51,306.38,30.75
10/23/21,18:30,11.92,1.49,306.25,30.76
10/23/21,19:00,12.32,2.29,298.81,30.65
10/23/21,19:30,10.58,0.32,306.11,30.74
10/23/21,20:00,12.63,2.48,304.23,30.71
10/23/21,20:30,11.19,0.97,303.17,30.73
10/23/21,21:00,10.84,2.08,303.22,30.70
10/23/21,21:30,11.56,4.96,304.81,30.57
10/23/21,22:00,10.28,4.67,8.04,FAILED
10/23/21,22:30,10.48,2.96,306.13,30.33
10/23/21,23:00,11.61,3.75,306.05,30.67
10/23/21,23:30,10.90,4.48,305.91,30.76
10/24/21,00:00,10.43,1.45,305.74,30.79
10/24/21,00:30,12.99,1.05,305.62,30.74
10/24/21,01:00,10.73,0.84,305.95,30.77
10/24/21,01:30,10.94,0.57,305.74,30.87
10/24/21,02:00,10.29,1.35,305.76,30.60
10/24/21,02:30,10.77,0.32,306.01,30.84
10/24/21,03:00,10.95,1.17,305.70,30.72
10/24/21,03:30,15.45,0.43,305.87,30.90
10/24/21,04:00,11.04,3.08,305.85,30.77
10/24/21,04:30,10.34,0.85,305.80,30.83
10/24/21,05:00,15.85,0.96,305.67,30.79
10/24/21,05:30,13.27,1.07,306.26,30.77
10/24/21,06:00,9.61,2.82,305.61,30.72
10/24/21,06:30,11.40,4.78,305.90,30.78
10/24/21,07:00,11.35,1.57,306.00,30.68
10/24/21,07:30,10.49,3.30,306.23,30.77
10/24/21,08:00,10.84,1.51,306.04,30.71
10/24/21,08:30,10.81,0.20,305.82,30.77
10/24/21,09:00,10.40,0.53,306.03,30.76
10/24/21,09:30,13.62,1.00,306.04,30.73
10/24/21,10:30,10.49,0.85,305.47,30.72
10/24/21,11:00,11.40,1.63,305.94,30.71
10/24/21,11:30,11.14,1.91,305.89,30.78
10/24/21,12:00,11.38,1.26,305.90,30.73
10/24/21,12:30,9.51,1.01,5.61,16.52
10/24/21,13:00,9.94,1.70,5.64,17.56
10/24/21,13:30,11.53,5.36,306.39,30.77
10/24/21,14:00,10.77,9.55,305.98,30.76
10/24/21,14:30,10.96,5.70,305.84,30.69
10/24/21,15:00,9.90,3.72,305.94,30.78
10/24/21,15:30,10.29,2.93,306.09,30.75
10/24/21,16:00,10.39,2.06,306.29,30.73
10/24/21,16:30,11.05,2.29,305.95,30.53
10/24/21,17:00,9.98,3.77,305.63,30.79
10/24/21,17:30,12.49,3.29,305.77,30.75
10/24/21,18:00,14.12,4.55,305.70,24.20
10/24/21,18:30,10.30,1.20,305.40,30.73
10/24/21,19:00,12.80,7.27,304.79,30.76
10/24/21,19:30,11.44,3.11,306.13,30.82
10/24/21,20:00,12.00,1.16,305.92,30.77
10/24/21,20:30,11.23,5.14,305.99,30.72
10/24/21,21:00,10.70,0.94,304.03,30.71
10/24/21,21:30,10.60,2.69,305.78,30.59
10/24/21,22:00,10.05,3.43,306.01,30.77
10/24/21,22:30,10.69,2.53,305.72,30.74
10/24/21,23:00,10.61,0.85,304.24,30.79
10/24/21,23:30,10.48,2.33,306.03,30.77
10/25/21,00:00,12.60,4.16,305.68,30.78
10/25/21,00:30,12.72,1.68,306.13,30.74
10/25/21,01:00,10.40,2.55,305.85,30.77
10/25/21,01:30,15.75,2.24,305.99,30.76
10/25/21,02:00,10.60,2.56,306.03,30.80
10/25/21,02:30,10.53,1.48,305.89,30.79
10/25/21,03:00,10.47,1.16,305.51,30.77
10/25/21,03:30,10.45,1.01,305.80,30.76
10/25/21,04:00,11.44,0.79,305.84,30.79
10/25/21,05:00,9.43,2.34,305.12,30.85
10/25/21,05:30,11.04,0.09,305.58,30.77
10/25/21,06:00,10.44,0.87,306.60,30.93
10/25/21,06:30,11.40,2.00,305.20,30.77
10/25/21,07:00,15.61,0.56,306.40,30.77
10/25/21,07:30,9.72,3.51,305.52,30.63
10/25/21,08:00,11.07,2.62,306.07,30.68
10/25/21,08:30,10.25,0.70,305.79,30.75
10/25/21,09:00,10.29,1.63,305.80,30.52
10/25/21,09:30,11.56,4.89,306.02,30.78
10/25/21,10:00,9.45,4.32,306.07,30.76
10/25/21,10:30,10.25,3.46,305.97,30.67
10/25/21,11:00,11.73,1.44,305.07,30.59
10/25/21,11:30,10.90,1.33,306.25,30.79
10/25/21,12:00,10.10,1.02,5.51,FAILED
10/25/21,12:30,13.12,1.33,300.84,30.79
10/25/21,13:00,10.16,1.66,305.49,30.76
10/25/21,13:30,10.76,5.60,305.98,30.74
10/25/21,14:00,11.01,1.79,305.37,30.76
10/25/21,14:30,11.07,4.71,305.93,30.75
10/25/21,15:00,10.46,0.95,305.98,30.64
10/25/21,15:30,11.72,2.49,306.22,20.25
10/25/21,16:00,11.15,2.56,306.12,30.80
10/25/21,16:30,10.54,0.90,305.57,30.64
10/25/21,17:00,11.05,4.71,306.23,30.78
10/25/21,17:30,10.26,7.85,306.04,30.77
10/25/21,18:00,10.21,4.15,305.86,30.75
10/25/21,18:30,10.91,4.03,305.77,30.64
10/25/21,19:00,11.23,1.14,304.76,30.73
10/25/21,19:30,11.04,0.76,305.65,30.83
10/25/21,20:00,10.47,4.74,304.36,30.82
10/25/21,20:30,11.80,5.96,269.94,30.49
10/25/21,21:00,10.36,0.85,305.88,30.53
10/25/21,21:30,11.54,6.06,289.41,29.89
10/25/21,22:00,12.18,7.85,305.48,21.68
10/25/21,22:30,10.06,1.10,305.47,30.78
10/25/21,23:00,10.10,3.12,305.99,30.75
10/25/21,23:30,10.84,1.38,305.70,30.73
10/26/21,00:00,12.06,2.02,306.11,30.44
10/26/21,00:30,10.70,0.77,305.80,30.86
10/26/21,01:30,12.12,7.86,306.13,30.76
10/26/21,02:00,9.53,4.25,305.79,30.76
10/26/21,02:30,11.12,0.50,306.22,30.81
10/26/21,03:00,10.60,0.54,305.82,30.76
10/26/21,03:30,10.83,2.11,305.49,30.84
10/26/21,04:00,10.84,1.85,305.95,30.78
10/26/21,04:30,9.53,2.32,5.68,19.09
10/26/21,05:00,14.70,1.02,305.61,30.76
10/26/21,05:30,10.45,0.69,305.84,30.77
10/26/21,06:00,9.65,2.24,5.77,17.02
10/26/21,06:30,10.97,0.15,306.07,30.78
10/26/21,07:00,15.15,1.36,203.18,30.78
10/26/21,07:30,11.95,3.45,305.65,30.77
10/26/21,08:00,9.46,1.07,305.59,30.76
10/26/21,08:30,11.37,2.75,305.74,30.73
10/26/21,09:00,10.86,2.32,305.77,30.80
10/26/21,09:30,11.05,0.23,306.11,30.85
10/26/21,10:00,9.96,0.54,305.68,30.80
10/26/21,10:30,10.70,1.43,305.28,30.67
10/26/21,11:00,11.27,4.03,305.78,30.56
10/26/21,11:30,12.76,1.02,306.23,30.80
10/26/21,12:00,10.19,1.98,305.59,30.77
10/26/21,12:30,10.93,2.37,305.61,30.80
10/26/21,13:00,10.94,63.47,306.11,30.72
10/26/21,13:30,11.91,4.55,305.87,30.76
10/26/21,14:00,10.39,0.55,305.84,30.76
10/26/21,14:30,11.93,1.00,301.82,30.72
10/26/21,15:00,13.96,4.26,306.19,26.64
10/26/21,15:30,10.87,2.65,306.11,30.76
10/26/21,16:00,12.00,6.60,306.34,30.71
10/26/21,16:30,11.69,3.29,305.91,30.60
10/26/21,17:00,11.25,4.96,305.99,30.68
10/26/21,17:30,9.60,4.88,305.69,30.51
10/26/21,18:30,10.89,0.26,305.69,30.75
10/26/21,19:00,12.02,1.23,302.45,30.65
10/26/21,19:30,8.89,2.81,303.11,30.56
10/26/21,20:00,10.96,1.96,306.05,30.74
10/26/21,20:30,10.25,4.55,305.92,30.70
10/26/21,21:00,11.31,1.60,302.82,30.78
10/26/21,21:30,11.54,8.32,304.98,30.38
10/26/21,22:00,12.70,5.15,305.03,29.38
10/26/21,22:30,11.90,8.87,305.39,30.63
10/26/21,23:00,10.93,3.12,305.88,30.75
10/26/21,23:30,11.22,3.04,306.09,30.72
10/27/21,00:00,12.10,3.40,305.78,30.70
10/27/21,00:30,10.81,1.92,306.38,30.76
10/27/21,01:30,10.52,1.85,305.41,30.76
10/27/21,02:30,10.36,2.33,305.66,30.82
10/27/21,03:00,12.60,3.77,306.09,30.75
10/27/21,03:30,11.10,0.18,305.82,30.77
10/27/21,04:00,11.19,1.82,305.80,30.75
10/27/21,04:30,10.52,0.67,304.74,30.73
10/27/21,05:00,10.66,2.09,305.78,30.82
10/27/21,05:30,9.61,0.73,305.42,30.82
10/27/21,06:00,11.13,0.41,305.62,30.77
10/27/21,06:30,10.05,1.27,305.76,30.78
10/27/21,07:00,14.58,113.00,305.67,30.76
10/27/21,07:30,12.06,4.38,306.24,30.83
10/27/21,08:00,10.84,1.32,305.91,30.70
10/27/21,08:30,10.28,0.57,305.89,30.97
10/27/21,09:00,10.82,0.34,305.72,30.85
10/27/21,09:30,10.09,2.07,5.50,17.28
10/27/21,10:00,10.18,0.56,305.91,30.59
10/27/21,10:30,11.32,2.82,305.53,29.89
10/27/21,11:00,11.81,2.56,306.31,30.74
10/27/21,11:30,10.53,4.50,305.84,30.72
10/27/21,12:00,10.10,1.33,305.25,30.75
10/27/21,12:30,21.75,481.52,305.61,30.71
10/27/21,13:00,10.73,1.56,305.26,30.74
10/27/21,13:30,10.28,4.58,303.67,30.76
10/27/21,14:00,9.27,3.08,305.24,30.70
10/27/21,14:30,9.81,2.02,306.02,30.56
10/27/21,15:00,10.85,0.56,305.70,30.85
10/27/21,15:30,10.39,0.83,305.99,30.74
10/27/21,16:00,9.87,0.56,305.99,29.61
10/27/21,16:30,10.01,4.56,305.74,30.06
10/27/21,17:00,11.22,2.16,306.11,30.39
10/27/21,17:30,11.03,2.22,305.79,30.01
10/27/21,18:00,9.49,4.51,305.72,30.18
10/27/21,18:30,9.66,5.31,305.54,30.79
10/27/21,19:00,11.30,2.50,305.58,30.71
10/27/21,19:30,9.65,1.64,305.37,30.78
10/27/21,20:30,10.44,3.45,305.53,30.81
10/27/21,21:00,10.50,2.08,306.12,30.75
10/27/21,21:30,10.67,1.06,305.47,30.77
10/27/21,22:00,11.05,2.04,305.94,30.78
10/27/21,22:30,10.25,10.47,305.70,30.89
10/27/21,23:00,11.00,4.11,306.33,30.74
10/27/21,23:30,10.45,0.71,305.55,30.78
10/28/21,00:00,9.88,0.92,305.89,30.76
10/28/21,00:30,11.06,1.22,306.41,30.76
10/28/21,01:00,12.05,0.38,306.03,30.77
10/28/21,01:30,10.63,4.23,305.12,30.64
10/28/21,02:00,10.95,0.86,305.77,30.77
10/28/21,03:00,15.86,0.55,255.00,30.76
10/28/21,03:30,10.92,0.28,305.52,30.72
10/28/21,04:00,10.32,0.68,305.85,30.86
10/28/21,04:30,9.43,4.43,305.80,30.76
10/28/21,05:00,14.81,0.28,305.89,30.79
10/28/21,05:30,10.56,0.52,306.08,30.77
10/28/21,06:00,10.87,1.52,306.07,30.79
10/28/21,06:30,10.55,2.76,305.50,30.77
10/28/21,07:00,10.52,1.97,305.37,30.74
10/28/21,07:30,10.76,2.57,306.12,30.76
10/28/21,08:00,10.51,1.31,305.56,30.77
10/28/21,08:30,10.00,4.42,305.78,30.76
10/28/21,09:00,11.28,4.02,305.85,30.79
10/28/21,09:30,10.65,2.29,306.39,30.73
10/28/21,10:00,12.23,1.70,300.40,30.36
10/28/21,10:30,10.83,0.74,305.82,30.56
10/28/21,11:00,10.52,1.91,304.58,30.80
10/28/21,11:30,9.69,4.58,305.67,30.72
10/28/21,12:00,11.43,2.44,305.95,30.46
10/28/21,12:30,10.10,0.58,305.93,30.77
10/28/21,13:00,11.63,4.04,306.03,30.76
10/28/21,13:30,12.11,2.72,306.30,30.38
10/28/21,14:00,12.44,2.72,305.88,30.77
10/28/21,14:30,11.72,1.96,306.31,30.97
10/28/21,15:00,10.19,3.32,305.48,30.84
10/28/21,15:30,10.98,1.59,304.99,30.70
10/28/21,16:00,11.11,140.23,306.56,30.80
10/28/21,16:30,11.14,1.25,305.93,30.00
10/28/21,17:00,11.19,3.30,305.93,30.79
10/28/21,17:30,10.91,1.34,304.87,30.74
10/28/21,18:00,12.25,8.77,305.89,30.67
10/28/21,18:30,10.74,0.93,305.90,30.74
10/28/21,19:30,10.52,8.80,306.07,29.66
10/28/21,20:00,11.35,2.51,301.50,30.75
10/28/21,20:30,11.17,1.10,305.79,30.87
10/28/21,21:00,11.69,0.42,299.00,30.74
10/28/21,21:30,10.46,3.16,305.86,30.77
10/28/21,22:00,13.92,2.81,306.35,30.79
10/28/21,22:30,11.42,0.52,305.88,30.80
10/28/21,23:00,9.68,2.41,305.80,30.78
10/28/21,23:30,10.36,2.41,306.25,30.74
10/29/21,00:00,10.08,7.97,305.68,30.78
10/29/21,00:30,16.04,0.91,305.99,30.77
10/29/21,01:00,11.31,6.36,305.75,30.79
10/29/21,01:30,10.43,0.38,305.85,30.76
10/29/21,02:00,9.60,1.57,305.47,30.78
10/29/21,02:30,10.46,0.93,305.83,30.76
10/29/21,03:00,11.16,0.54,304.73,30.78
10/29/21,03:30,10.47,1.81,306.08,30.79
10/29/21,04:00,10.65,0.45,306.01,30.78
10/29/21,04:30,10.95,1.53,305.49,30.79
10/29/21,05:00,9.90,1.29,305.86,30.77
10/29/21,05:30,9.57,3.53,305.38,30.78
10/29/21,06:00,10.79,0.34,306.13,30.76
10/29/21,06:30,10.69,4.15,305.89,30.73
10/29/21,07:00,10.41,1.06,305.66,30.76
10/29/21,07:30,10.82,8.85,305.79,30.76
10/29/21,08:00,9.60,1.17,305.94,30.76
10/29/21,09:00,9.50,0.51,305.69,30.79
10/29/21,09:30,11.09,0.69,306.51,30.75
10/29/21,10:00,9.49,3.73,305.48,30.73
10/29/21,10:30,11.28,3.39,306.50,30.77
10/29/21,11:00,9.40,4.17,305.97,30.76
10/29/21,11:30,15.15,1.81,305.69,30.75
10/29/21,12:00,9.52,0.96,306.06,30.73
10/29/21,12:30,10.07,2.35,305.57,30.60
10/29/21,13:00,10.92,0.63,305.73,30.68
10/29/21,13:30,11.29,2.52,306.24,30.78
10/29/21,14:00,10.75,1.93,306.38,30.77
10/29/21,14:30,12.38,123.96,305.72,30.77
10/29/21,15:00,11.55,4.50,305.95,30.79
10/29/21,15:30,11.02,0.73,304.41,30.72
10/29/21,16:00,9.59,1.15,306.21,30.79
10/29/21,16:30,9.56,2.91,304.42,30.79
10/29/21,17:00,9.79,2.44,305.72,30.75
10/29/21,17:30,10.63,2.94,305.57,30.78
10/29/21,18:00,10.81,0.67,305.97,30.53
10/29/21,18:30,12.32,1.16,305.82,30.73
10/29/21,19:00,10.81,0.72,306.24,30.75
10/29/21,19:30,11.47,3.74,305.72,30.78
10/29/21,20:30,9.33,0.97,305.62,30.54
10/29/21,21:00,10.43,1.21,304.07,30.76
10/29/21,21:30,12.30,2.09,306.14,30.80
10/29/21,22:00,10.95,4.02,306.03,30.75
10/29/21,22:30,10.58,2.23,306.07,30.78
10/29/21,23:00,11.40,0.60,306.08,30.45
10/29/21,23:30,12.08,2.59,305.84,21.22
10/30/21,00:00,10.40,9.27,306.02,30.61
10/30/21,00:30,9.54,12.45,305.85,30.78
10/30/21,01:00,11.37,1.11,306.16,30.76
10/30/21,01:30,11.83,3.04,306.26,30.74
10/30/21,02:00,11.01,3.98,305.65,30.79
10/30/21,02:30,11.53,1.69,306.04,30.79
10/30/21,03:00,9.40,2.16,305.78,30.91
10/30/21,03:30,10.79,0.40,305.83,31.08
10/30/21,04:00,10.97,6.13,306.34,30.77
10/30/21,04:30,11.00,1.12,305.75,30.74
10/30/21,05:00,9.52,1.95,305.75,30.77
10/30/21,05:30,10.97,0.16,306.07,30.90
10/30/21,06:00,10.71,0.63,305.71,30.79
10/30/21,06:30,10.03,0.43,305.86,30.79
10/30/21,07:00,12.97,9.90,305.77,30.79
10/30/21,07:30,10.69,4.15,306.08,30.78
10/30/21,08:00,10.45,1.96,305.78,30.74
10/30/21,08:30,11.75,77.86,305.95,30.66
10/30/21,09:00,10.80,5.71,306.04,30.71
10/30/21,09:30,10.92,5.95,305.98,30.77
10/30/21,10:00,11.20,60.74,306.16,30.76
10/30/21,10:30,12.27,2.93,305.55,30.75
10/30/21,11:00,10.13,1.99,305.76,30.38
10/30/21,11:30,12.31,1.46,306.36,27.33
10/30/21,12:00,10.28,1.40,305.75,30.78
10/30/21,12:30,10.48,1.48,305.82,30.60
10/30/21,13:00,10.30,1.92,306.15,30.76
10/30/21,13:30,11.05,2.33,305.99,30.79
10/30/21,14:00,11.75,4.65,306.90,30.57
10/30/21,14:30,10.92,1.51,305.42,30.75
10/30/21,15:00,15.15,1.33,307.63,30.62
10/30/21,15:30,10.59,3.18,306.07,30.73
10/30/21,16:00,10.90,6.62,306.06,30.71
10/30/21,16:30,10.34,3.89,305.38,30.70
10/30/21,17:00,11.22,10.16,305.73,30.66
10/30/21,17:30,10.63,2.89,306.07,30.36
10/30/21,18:00,10.57,0.96,304.15,30.73
10/30/21,18:30,11.29,1.62,299.38,30.75
10/30/21,19:00,10.46,0.57,306.23,30.98
10/30/21,19:30,10.22,4.54,305.82,30.64
10/30/21,20:00,8.97,2.51,264.13,30.67
10/30/21,20:30,11.25,2.98,305.74,30.78
10/30/21,21:00,9.46,0.71,305.59,30.75
10/30/21,22:00,10.40,2.93,305.93,30.70
10/30/21,23:00,10.39,4.59,306.33,30.75
10/30/21,23:30,9.52,1.96,302.80,30.76
10/31/21,00:00,10.83,1.92,307.53,30.72
10/31/21,00:30,9.88,3.31,305.96,30.80
10/31/21,01:00,11.81,1.56,306.08,30.78
10/31/21,01:30,10.82,5.25,306.01,30.75
10/31/21,02:00,10.91,4.91,305.11,30.79
10/31/21,02:30,10.43,0.95,305.76,30.76
10/31/21,02:00,11.44,0.77,305.89,30.72
10/31/21,02:30,10.97,1.61,306.13,30.76
10/31/21,03:00,11.12,0.34,305.90,30.75
10/31/21,04:00,11.22,3.55,305.85,30.75
10/31/21,04:30,10.94,2.56,5.58,13.81
10/31/21,05:00,11.23,1.33,305.90,30.76
10/31/21,05:30,11.32,1.03,306.19,30.82
10/31/21,06:00,10.60,1.38,305.74,30.75
10/31/21,07:00,11.54,1.95,305.92,30.69
10/31/21,07:30,10.67,0.63,306.13,30.79
10/31/21,08:00,9.26,0.98,305.86,30.80
10/31/21,08:30,10.69,2.00,305.68,30.79
10/31/21,09:00,11.65,0.32,306.18,30.70
10/31/21,09:30,10.51,10.48,305.31,30.93
10/31/21,10:00,9.03,1.06,302.80,30.67
10/31/21,10:30,10.64,1.40,305.09,30.77
10/31/21,11:00,9.53,2.29,305.55,30.73
10/31/21,11:30,11.13,1.65,305.86,30.76
10/31/21,12:00,12.50,1.33,305.82,30.42
10/31/21,12:30,13.26,1.23,293.34,26.36
10/31/21,13:00,7.58,2.48,300.89,26.55
10/31/21,13:30,7.72,1.78,261.73,26.99
10/31/21,14:00,11.84,3.26,302.37,24.15
10/31/21,14:30,9.48,1.90,305.12,22.35
10/31/21,15:00,11.05,2.68,305.87,30.59
10/31/21,15:30,10.87,10.11,304.26,30.73
10/31/21,16:00,11.40,1.71,305.66,30.63
10/31/21,16:30,11.92,0.58,302.73,30.72
10/31/21,17:00,10.21,2.41,289.50,30.54
10/31/21,17:30,10.65,2.49,298.48,30.76
10/31/21,18:00,9.32,3.00,305.95,30.75
10/31/21,18:30,10.26,0.82,306.08,30.75
10/31/21,19:00,10.64,1.71,305.52,30.41
10/31/21,19:30,11.62,3.65,302.31,30.68
10/31/21,20:00,10.79,1.38,306.03,30.76
10/31/21,20:30,15.00,1.62,305.63,30.76
10/31/21,21:00,11.32,5.21,273.26,30.59
10/31/21,21:30,12.36,0.23,305.66,30.78
10/31/21,22:00,12.91,0.98,306.45,30.78
10/31/21,22:30,9.78,6.67,305.51,30.77
10/31/21,23:00,9.87,5.14,305.48,30.45
10/31/21,23:30,9.11,7.02,305.53,30.72
11/01/21,00:00,9.47,1.11,305.98,30.79
11/01/21,00:30,9.62,0.76,305.65,30.76
11/01/21,01:00,9.21,0.63,305.65,30.76
11/01/21,01:30,11.10,3.06,305.84,30.77
11/01/21,02:00,9.45,0.56,305.94,30.79
11/01/21,02:30,10.96,2.29,306.13,30.79
11/01/21,03:00,9.80,2.66,305.95,30.78
11/01/21,03:30,11.25,3.03,305.95,30.80
11/01/21,04:00,10.02,5.17,305.78,30.79
11/01/21,04:30,9.27,4.07,305.61,30.75
11/01/21,05:00,9.46,1.27,305.76,30.75
11/01/21,05:30,11.10,61.96,305.96,30.76
11/01/21,06:00,10.78,1.28,305.92,30.78
11/01/21,06:30,11.03,2.76,306.01,30.80
11/01/21,07:00,10.67,1.01,306.01,30.77
11/01/21,07:30,11.07,2.56,304.19,30.69
11/01/21,08:00,9.49,1.39,305.91,30.73
11/01/21,08:30,11.68,1.77,305.88,30.90
11/01/21,09:00,7.11,3.56,296.35,30.74
11/01/21,09:30,10.80,1.19,305.61,30.62
11/01/21,10:00,7.54,3.78,304.43,29.81
11/01/21,10:30,10.99,2.52,305.82,30.68
11/01/21,11:00,10.64,1.19,305.81,30.73
11/01/21,11:30,9.69,3.54,302.99,30.65
11/01/21,12:00,11.40,1.31,305.69,30.70
11/01/21,12:30,12.28,2.45,305.94,30.73
11/01/21,13:00,10.56,4.23,305.67,30.68
11/01/21,13:30,16.72,6.76,304.66,30.66
11/01/21,14:00,10.92,1.81,305.75,30.69
11/01/21,14:30,6.35,2.45,303.25,30.77
11/01/21,15:00,9.48,0.67,305.85,30.75
11/01/21,15:30,12.99,3.37,304.13,30.64
11/01/21,16:00,9.97,3.05,305.95,30.73
11/01/21,16:30,9.30,3.99,305.96,30.65
11/01/21,17:00,9.35,2.68,305.76,25.91
11/01/21,17:30,11.75,1.41,302.60,25.86
11/01/21,18:00,9.67,1.25,305.84,30.77
11/01/21,18:30,11.64,4.97,306.04,30.78
11/01/21,19:00,10.38,3.92,305.87,30.69
11/01/21,19:30,10.49,5.48,303.55,30.61
11/01/21,20:00,15.30,1.76,200.84,30.76
11/01/21,20:30,10.30,1.12,305.11,30.76
11/01/21,21:00,11.59,2.93,305.75,30.76
11/01/21,21:30,11.12,2.92,305.75,30.55
11/01/21,22:00,10.57,6.56,306.31,28.76
11/01/21,22:30,12.55,5.53,276.01,30.75
